Country,ISO,Currency,Currency_code,Status,Withdrawl_date,country_type,,
AFGHANISTAN,AFG,Afghani,AFA,Historic,2003-01,Sovereign country,,
AFGHANISTAN,AFG,Afghani,AFN,Active,ongoing,Sovereign country,,
ÅLAND ISLANDS,ALA,Euro,EUR,Active,ongoing,0,,
ÅLAND ISLANDS,ALA,Markka,FIM,Historic,2002-03,0,,
ALBANIA,ALB,Old Lek,ALK,Historic,1989-12,Sovereign country,,
ALBANIA,ALB,Lek,ALL,Active,ongoing,Sovereign country,,
ALGERIA,DZA,Algerian Dinar,DZD,Active,ongoing,Sovereign country,,
AMERICAN SAMOA,ASM,US Dollar,USD,Active,ongoing,0,,
ANDORRA,AND,Andorran Peseta,ADP,Historic,2003-07,0,,
ANDORRA,AND,Spanish Peseta,ESP,Historic,2002-03,0,,
ANDORRA,AND,Euro,EUR,Active,ongoing,0,,
ANDORRA,AND,French Franc,FRF,Historic,2002-03,0,,
ANGOLA,AGO,Kwanza,AOA,Active,ongoing,Sovereign country,,
ANGOLA,AGO,Kwanza,AOK,Historic,1991-03,Sovereign country,,
ANGOLA,AGO,New Kwanza,AON,Historic,2000-02,Sovereign country,,
ANGOLA,AGO,Kwanza Reajustado,AOR,Historic,2000-02,Sovereign country,,
ANGUILLA,AIA,East Caribbean Dollar,XCD,Active,ongoing,0,,
ANTARCTICA,ATA,No universal currency,,Active,ongoing,Indeterminate,,
ANTIGUA AND BARBUDA,ATG,East Caribbean Dollar,XCD,Active,ongoing,0,,
ARGENTINA,ARG,Austral,ARA,Historic,1992-01,Sovereign country,,
ARGENTINA,ARG,Peso Argentino,ARP,Historic,1985-07,Sovereign country,,
ARGENTINA,ARG,Argentine Peso,ARS,Active,ongoing,Sovereign country,,
ARGENTINA,ARG,Peso,ARY,Historic,1989 to 1990,Sovereign country,,
ARMENIA,ARM,Armenian Dram,AMD,Active,ongoing,Sovereign country,,
ARMENIA,ARM,Russian Ruble,RUR,Historic,1994-08,Sovereign country,,
ARUBA,ABW,Aruban Florin,AWG,Active,ongoing,0,,
AUSTRALIA,AUS,Australian Dollar,AUD,Active,ongoing,Country,,
AUSTRIA,AUT,Schilling,ATS,Historic,2002-03,Sovereign country,,
AUSTRIA,AUT,Euro,EUR,Active,ongoing,Sovereign country,,
AZERBAIJAN,AZE,Azerbaijan Manat,AYM,Historic,2005-10,Sovereign country,,
